NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Study Type,Locations
NCT00255541,GALLANT 4 Tesaglitazar vs. Glibenclamide,https://clinicaltrials.gov/study/NCT00255541,TERMINATED,Type 2 Diabetes,DRUG: Tesaglitazar|DRUG: Glibenclamide,AstraZeneca,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Research Site, Antwerpen, Belgium|Research Site, Braine-L'alleud, Belgium|Research Site, Hasselt, Belgium|Research Site, Liege, Belgium|Research Site, Merksem, Belgium|Research Site, Sint-Gillis-Waas, Belgium|Research Site, Steenokkerzeel, Belgium|Research Site, Shatin, N.T., Hong Kong|Research Site, Balatonfüred, Hungary|Research Site, Budapest, Hungary|Research Site, Kaposvár, Hungary|Research Site, Kecskemét, Hungary|Research Site, Székesfehérvár, Hungary|Research Site, Arenzano, Italy|Research Site, Chiavari (GE), Italy|Research Site, Chieri, Italy|Research Site, Gubbio (PG), Italy|Research Site, Milano, Italy|Research Site, Napoli, Italy|Research Site, Padova, Italy|Research Site, Perugia, Italy|Research Site, Piacenza, Italy|Research Site, Reggio Calabria, Italy|Research Site, Reggio Emilia, Italy|Research Site, Rho, Italy|Research Site, Roma, Italy|Research Site, Udine, Italy|Research Site, Kubang Kerian, Kota Bharu, Malaysia|Research Site, Kuala Lampur, Malaysia|Research Site, México, D.f., Mexico|Research Site, Guadalajara, Jalisco, Mexico|Research Site, Zapopan, Jalisco, Mexico|Research Site, Veracruz, Mexico|Research Site, Bergen, Norway|Research Site, Kongsvinger, Norway|Research Site, Lysaker, Norway|Research Site, Oslo, Norway|Research Site, Skedsmokorset, Norway|Research Site, Sørumstand, Norway|Research Site, Trondheim, Norway|Research Site, Ås, Norway|Research Site, Manila, Philippines|Research Site, Pasig City, Philippines|Research Site, Kraków, Poland|Research Site, Lublin, Poland|Research Site, P³ock, Poland|Research Site, Toruñ, Poland|Research Site, Tychy, Poland|Research Site, Warszawa, Poland|Research Site, £ód?, Poland|Research Site, Bratislava, Slovakia|Research Site, Ilava, Slovakia|Research Site, Kosice, Slovakia|Research Site, Kysucke Nove Mesto, Slovakia|Research Site, Lubochna, Slovakia|Research Site, Lucenec, Slovakia|Research Site, Nitra, Slovakia|Research Site, Presov, Slovakia|Research Site, Trnava, Slovakia|Research Site, Cape Town, South Africa|Research Site, Durban, South Africa|Research Site, Houghton Gauteng, South Africa|Research Site, Changhua, Taiwan|Research Site, Taichung, Taiwan|Research Site, Taipei, Taiwan|Research Site, Bangkok, Thailand"
NCT00300105,GALLEX 4 - Long-Term Extension Study to Evaluate Tesaglitazar Therapy in Patients With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT00300105,TERMINATED,Type 2 Diabetes,DRUG: Tesaglitazar,AstraZeneca,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Research Site, Hasselt, Belgium|Research Site, Liege, Belgium|Research Site, Sint-Gillis-Waas, Belgium|Research Site, Steenokkerzeel, Belgium|Research Site, Shatin, Hong Kong|Research Site, Balatonfured, Hungary|Research Site, Budapest, Hungary|Research Site, Kaposvar, Hungary|Research Site, Kecskemet, Hungary|Research Site, Székesfehérvár, Hungary|Research Site, Gubbio, Italy|Research Site, Milano, Italy|Research Site, Perugia, Italy|Research Site, Piacenza, Italy|Research Site, Reggio Emilia, Italy|Research Site, Udine, Italy|Research Site, Kubang Kerian, Kelantan, Malaysia|Research Site, Kuala Lumpur, Malaysia|Research Site, Makati City, Philippines|Research Site, Manila, Philippines|Research Site, Pasig City, Philippines|Research Site, Kraków, Poland|Research Site, Lublin, Poland|Research Site, Plock, Poland|Research Site, Torun, Poland|Research Site, Tychy, Poland|Research Site, Warszawa, Poland|Research Site, £ód?, Poland|Research Site, Banská Bystrica, Slovakia|Research Site, Bratislava, Slovakia|Research Site, Ilava, Slovakia|Research Site, Kosice, Slovakia|Research Site, Kysucke Nove Mesto, Slovakia|Research Site, Lubochna, Slovakia|Research Site, Lucenec, Slovakia|Research Site, Nitra, Slovakia|Research Site, Presov, Slovakia|Research Site, Trnava, Slovakia|Research Site, Johannesburg, Gauteng, South Africa|Research Site, Cape Town, South Africa|Research Site, Durban, South Africa|Research Site, Bangkok, Thailand"
NCT00252837,GALLANT 22 Tesaglitazar vs. Placebo,https://clinicaltrials.gov/study/NCT00252837,TERMINATED,Type 2 Diabetes,DRUG: Tesaglitazar|BEHAVIORAL: Dietary and Lifestyle counseling,AstraZeneca,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Research Site, Adelaide, Australia|Research Site, Cairns, Australia|Research Site, Gosford, Australia|Research Site, Keswick, Australia|Research Site, Kippa Ring, Australia|Research Site, Melbourne, Australia|Research Site, Miranda, Australia|Research Site, Nowra, Australia|Research Site, Wollongong, Australia|Research Site, Brno, Czech Republic|Research Site, Hodonin, Czech Republic|Research Site, Hradec Kralove, Czech Republic|Research Site, Plzen, Czech Republic|Research Site, Praha 5, Czech Republic|Research Site, Pribram, Czech Republic|Research Site, Semily, Czech Republic|Research Site, Tabor, Czech Republic|Research Site, Usti nad Labem, Czech Republic|Research Site, Paide, Estonia|Research Site, Pärnu, Estonia|Research Site, Tallinn, Estonia|Research Site, Tartu, Estonia|Research Site, Viljandi, Estonia|Research Site, Belgrade, Former Serbia and Montenegro|Research Site, Angers, France|Research Site, Briollay, France|Research Site, Poitiers, France|Research Site, Saint Benoit, France|Research Site, Saint Ouen, France|Research Site, Toulouse, France|Research Site, Trelaze, France|Research Site, Athens, Greece|Research Site, Piraeus, Greece|Research Site, Balatonfüred, Hungary|Research Site, Budapest, Hungary|Research Site, Kaposvár, Hungary|Research Site, Kecskemét, Hungary|Research Site, Székesfehérvár, Hungary|Research Site, Daugavpils, Latvia|Research Site, Jekabpils, Latvia|Research Site, Madona, Latvia|Research Site, Riga, Latvia|Research Site, SIgulda, Latvia|Research Site, Talsi, Latvia|Research Site, Valmiera, Latvia|Research Site, Kaunas, Lithuania|Research Site, Klaipeda, Lithuania|Research Site, Panevezys, Lithuania|Research Site, Vilnius, Lithuania|Research Site, Aurskog, Norway|Research Site, Bergen, Norway|Research Site, Enebakk, Norway|Research Site, Fredrikstad, Norway|Research Site, Haugesund, Norway|Research Site, Hønefoss, Norway|Research Site, Inderøy, Norway|Research Site, Larvik, Norway|Research Site, Lierskogen, Norway|Research Site, Oslo, Norway|Research Site, Rolvsøy, Norway|Research Site, Cebu City, Philippines|Research Site, Pasig City, Philippines|Research Site, Quezon City, Philippines|Research Site, Katowice, Ochojec, Poland|Research Site, Bialystok, Poland|Research Site, Bydgoszcz, Poland|Research Site, Gdansk, Poland|Research Site, Krakow, Poland|Research Site, Lodz, Poland|Research Site, Lublin, Poland|Research Site, Olsztyn, Poland|Research Site, Poznań, Poland|Research Site, Radom, Poland|Research Site, Rzeszow, Poland|Research Site, Sopot, Poland|Research Site, Szczecin, Poland|Research Site, Toruñ, Poland|Research Site, Tychy, Poland|Research Site, Warszawa, Poland|Research Site, Wroclaw, Poland|Research Site, Zabrze, Poland|Research Site, Zielona Gora, Poland|Research Site, Dolny Kubin, Slovakia|Research Site, Levice, Slovakia|Research Site, Lubochna, Slovakia|Research Site, Lucenec, Slovakia|Research Site, Nove Zamky, Slovakia|Research Site, Povazska Bystrica, Slovakia|Research Site, Sahy, Slovakia|Research Site, Trencin, Slovakia|Research Site, Velky Meder, Slovakia|Research Site, Zilina, Slovakia|Research Site, Borås, Sweden|Research Site, Göteborg, Sweden|Research Site, Mölndal, Sweden|Research Site, Partille, Sweden|Research Site, Skene, Sweden|Research Site, Stenungsund, Sweden|Research Site, Uddevalla, Sweden|Research Site, Vänersborg, Sweden|Research Site, Åmål, Sweden"
NCT00252772,GALLANT 2 Tesaglitazar vs. Placebo,https://clinicaltrials.gov/study/NCT00252772,TERMINATED,Type 2 Diabetes,DRUG: Tesaglitazar|BEHAVIORAL: Dietary and Lifestyle counseling,AstraZeneca,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Research Site, Hanko, Finland|Research Site, Helsinki, Finland|Research Site, Imatra, Finland|Research Site, Kokkola, Finland|Research Site, Kuopio, Finland|Research Site, Lahti, Finland|Research Site, Mikkeli, Finland|Research Site, Oulu, Finland|Research Site, Pattijoki, Finland|Research Site, Pietarsaari, Finland|Research Site, Pori, Finland|Research Site, Tampere, Finland|Research Site, Turku, Finland|Research Site, Ödet, Finland"
NCT01460251,OPen Label Study to Evaluate Long Term Treatment Effect of DiaPep277,https://clinicaltrials.gov/study/NCT01460251,TERMINATED,Type 1 Diabetes,DRUG: DiaPep277,Rabin Medical Center,,ALL,ADULT,PHASE3,INTERVENTIONAL,"Hadassah Medical Center, Jerusalem, 91120, Israel|Schneider Children's Medical Center, Petah-Tikva, 49202, Israel"
NCT00159211,Abdominal Adipose Tissue Distribution in Type 2 Diabetic Patients Treated During 6 Months With Pioglitazone or Insulin,https://clinicaltrials.gov/study/NCT00159211,TERMINATED,Type 2 Diabetes,DRUG: UMULINE NPH|DRUG: pioglitazone,Assistance Publique - Hôpitaux de Paris,Laboratoires Takeda,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Sce de Diabétologie, hôpital de la Pitié-salpêtrière, 83bld de l'hôpital, Paris, 75013, France"
NCT03411460,Satisfaction of Hospitalized Diabetic Patients Using a Continuous Glucose Monitoring System,https://clinicaltrials.gov/study/NCT03411460,TERMINATED,Insulin-Dependent Diabetes,DEVICE: FreeStyle Libre™ system|PROCEDURE: Finger prick,Centre Hospitalier Universitaire de Nīmes,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"CHU Nimes, Nîmes, 30029, France"
NCT00251953,GALLANT 8 Tesaglitazar Add-on to Metformin,https://clinicaltrials.gov/study/NCT00251953,TERMINATED,Type 2 Diabetes,DRUG: Tesaglitazar|DRUG: Metformin,AstraZeneca,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Research Site, Adelaide, Australia|Research Site, Brisbane, Australia|Research Site, Cairns, Australia|Research Site, Geelong, Australia|Research Site, Melbourne, Australia|Research Site, Perth, Australia|Research Site, Sydney, Australia|Research Site, Coquitlam, British Columbia, Canada|Research Site, Winnipeg, Manitoba, Canada|Research Site, St. John's, Newfoundland and Labrador, Canada|Research Site, Etobicoke, Ontario, Canada|Research Site, Hamilton, Ontario, Canada|Research Site, Hastings, Ontario, Canada|Research Site, Kingston, Ontario, Canada|Research Site, North York, Ontario, Canada|Research Site, Ottawa, Ontario, Canada|Research Site, Smith Falls, Ontario, Canada|Research Site, Toronto, Ontario, Canada|Research Site, Chomedey-Laval, Quebec, Canada|Research Site, Laval, Quebec, Canada|Research Site, Montréal, Quebec, Canada|Research Site, Helsinki, Finland|Research Site, Hämeenlinna, Finland|Research Site, Joensuu, Finland|Research Site, Kouvola, Finland|Research Site, Kuopio, Finland|Research Site, Mikkeli, Finland|Research Site, Oulu, Finland|Research Site, Salo, Finland|Research Site, Tampere, Finland|Research Site, Vantaa, Finland|Research Site, Aschaffenburg, Germany|Research Site, Berlin, Germany|Research Site, Essen, Germany|Research Site, Hamburg, Germany|Research Site, Heidelberg, Germany|Research Site, Mannheim, Germany|Research Site, Nürberg, Germany|Research Site, Rotenburg/Fulda, Germany|Research Site, Bangalore, India|Research Site, Hyderabad, India|Research Site, New Delhi, India|Research Site, Arenzano, Italy|Research Site, Chiavari (GE), Italy|Research Site, Chieri, Italy|Research Site, Desio, Italy|Research Site, Firenze, Italy|Research Site, Gubbio, Italy|Research Site, Marsala, Italy|Research Site, Messina, Italy|Research Site, Milano, Italy|Research Site, Monteccio Emilia, Italy|Research Site, Napoli, Italy|Research Site, Padova, Italy|Research Site, Perugia, Italy|Research Site, Pescara, Italy|Research Site, Piacenza, Italy|Research Site, Pistoia, Italy|Research Site, Reggio Calabria, Italy|Research Site, Reggio Emilia, Italy|Research Site, Rho, Italy|Research Site, Roma, Italy|Research Site, Scandiano, Italy|Research Site, Udine, Italy|Research Site, Kubang Kerian, Kota Bharu, Malaysia|Research Site, Kuala Lumpur, Malaysia|Research Site, Cebu City, Philippines|Research Site, Quezon City, Philippines|Research Site, Singapore, Singapore|Research Site, Borås, Sweden|Research Site, Dalby, Sweden|Research Site, Göteborg, Sweden|Research Site, Höganäs, Sweden|Research Site, Kungsör, Sweden|Research Site, Malmö, Sweden|Research Site, Mölndal, Sweden|Research Site, Oskarshamn, Sweden|Research Site, Skene, Sweden|Research Site, Skrivarp, Sweden|Research Site, Stenungsund, Sweden|Research Site, Uppsala, Sweden|Research Site, Ängelholm, Sweden|Research Site, Aberdeen, United Kingdom|Research Site, Aldershot, United Kingdom|Research Site, Atherstone, United Kingdom|Research Site, Barry, United Kingdom|Research Site, Bath, United Kingdom|Research Site, Bexhill-on-Sea, United Kingdom|Research Site, Birmingham, United Kingdom|Research Site, Bolton, United Kingdom|Research Site, Cardiff, United Kingdom|Research Site, Chippenham, United Kingdom|Research Site, Coventry, United Kingdom|Research Site, Dundee, United Kingdom|Research Site, Edinburgh, United Kingdom|Research Site, Glasgow, United Kingdom|Research Site, Harrow, United Kingdom|Research Site, Hastings, United Kingdom|Research Site, Leeds, United Kingdom|Research Site, Liverpool, United Kingdom|Research Site, Manchester, United Kingdom|Research Site, Plymouth, United Kingdom|Research Site, Radstock, United Kingdom|Research Site, Slough, United Kingdom|Research Site, Swindon, United Kingdom|Research Site, West Midlands, United Kingdom|Research Site, Wrexham, United Kingdom"
NCT00251940,GALLANT 7 Tesaglitazar Add-on to Sulphonylurea,https://clinicaltrials.gov/study/NCT00251940,TERMINATED,Type 2 Diabetes,"DRUG: Tesaglitazar 0.5 or 1 mg|DRUG: Glibenclamide 2.5, 5, 10 or 15 mg",AstraZeneca,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Research Site, Adelaide, Australia|Research Site, Brisbane, Australia|Research Site, Cairns, Australia|Research Site, Geelong, Australia|Research Site, Melbourne, Australia|Research Site, Perth, Australia|Research Site, Sydney, Australia|Research Site, Tasmania, Australia|Research Site, Angers, France|Research Site, Hyeres, France|Research Site, La Garde, France|Research Site, La Seyne Sur Mer, France|Research Site, Laval, France|Research Site, Le Brusc, France|Research Site, Le Lavandou, France|Research Site, Montrevault, France|Research Site, Paris, France|Research Site, Saint-Cyr, France|Research Site, Six Fours Les Plages, France|Research Site, Tierce, France|Research Site, Toulon, France|Research Site, Ashkelon, Israel|Research Site, Haifa, Israel|Research Site, Holon, Israel|Research Site, Jerusalem, Israel|Research Site, Rishon-Lezion, Israel|Research Site, Tel Aviv, Israel|Research Site, Tel Hashomer, Israel|Research Site, Zefat, Israel|Research Site, Seoul, Korea, Republic of|Research Site, Suwon, Korea, Republic of|Research Site, Bergen, Norway|Research Site, Elverum, Norway|Research Site, Enebakk, Norway|Research Site, Fredrikstad, Norway|Research Site, Gamle Fredrikstad, Norway|Research Site, Hamar, Norway|Research Site, Haugesund, Norway|Research Site, Hurdal, Norway|Research Site, Inderøy, Norway|Research Site, Lena, Norway|Research Site, Levanger, Norway|Research Site, Oslo, Norway|Research Site, Rud, Norway|Research Site, Sedsmokorset, Norway|Research Site, Soerumsand, Norway|Research Site, Stavanger, Norway|Research Site, Manila, Philippines|Research Site, Marikina City, Philippines|Research Site, Pasig City, Philippines|Research Site, Cape Town, South Africa|Research Site, Chatsworth, South Africa|Research Site, Gauteng, South Africa|Research Site, Pretoria, South Africa|Research Site, Alzira (Valencia), Spain|Research Site, Barcelona, Spain|Research Site, Guissona (Lleida), Spain|Research Site, Madrid, Spain|Research Site, San Sebastian de los Reyes ( Madrid), Spain|Research Site, San Vicente de Raspeig (Alicante), Spain|Research Site, Valencia, Spain|Research Site, Dublin, Ireland, United Kingdom|Research Site, Aberdeen, United Kingdom|Research Site, Barnsley, United Kingdom|Research Site, Bath, United Kingdom|Research Site, Belfast, United Kingdom|Research Site, Birmingham, United Kingdom|Research Site, Cardiff, United Kingdom|Research Site, Coventry, United Kingdom|Research Site, Dundee, United Kingdom|Research Site, East Sussex, United Kingdom|Research Site, Edinburgh, United Kingdom|Research Site, Glasgow, United Kingdom|Research Site, Leeds, United Kingdom|Research Site, Liverpool, United Kingdom|Research Site, London, United Kingdom|Research Site, Manchester, United Kingdom|Research Site, Shrewsbury, United Kingdom|Research Site, Surrey, United Kingdom|Research Site, West Midlands, United Kingdom|Research Site, Wiltshire, United Kingdom|Research Site, Wrexham, United Kingdom|Research Site, Hanoi, Vietnam|Research Site, Ho Chi Minh, Vietnam"
NCT00430040,Vascular Benefits of Adding CarvedilolCR to Type2 Diabetic Patients on ACEI.,https://clinicaltrials.gov/study/NCT00430040,TERMINATED,"Diabetes Mellitus, Type 2|Hypertension",DRUG: Carvedilol Controlled Release (CR)|DRUG: lisinopril,University at Buffalo,GlaxoSmithKline,ALL,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Diabetes - Endocrinology Center of Western New York, Buffalo, New York, 14221, United States"
NCT00609154,Effect of GLP-1 on Insulin Biosynthesis and Turnover Rates,https://clinicaltrials.gov/study/NCT00609154,TERMINATED,Type 2 Diabetes,DRUG: glucagon like peptide-1|DIETARY_SUPPLEMENT: glucose control,Albert Einstein College of Medicine,Merck Sharp & Dohme LLC|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,INTERVENTIONAL,"Albert Einstein College of Medicinie, Bronx, New York, 10461, United States"
NCT05293340,"Continuous Glucose Monitoring and Hass Avocado Trial (""CHAT"")",https://clinicaltrials.gov/study/NCT05293340,TERMINATED,"Dietary Habits|Diabetes Mellitus, Type 2",DIETARY_SUPPLEMENT: Avocado Vouchers,Sansum Diabetes Research Institute,Hass Avocado Board,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Sansum Diabetes Research Institute, Santa Barbara, California, 93105, United States"
NCT00261352,GALLANT 14 Tesaglitazar vs. Metformin and Fenofibrate,https://clinicaltrials.gov/study/NCT00261352,TERMINATED,Type 2 Diabetes,DRUG: Tesaglitazar|DRUG: Metformin|DRUG: Fenofibrate,AstraZeneca,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Research Site, Fortaleza, CE, Brazil|Research Site, Goiânia, GO, Brazil|Research Site, Porto Alegre, RS, Brazil|Research Site, Curitiba, Brazil|Research Site, Sao Paulo, Brazil|Research Site, Calgary, Alberta, Canada|Research Site, Surrey, British Columbia, Canada|Research Site, Bay Roberts, Newfoundland and Labrador, Canada|Research Site, Mount Pearl, Newfoundland and Labrador, Canada|Research Site, St. John's, Newfoundland and Labrador, Canada|Research Site, Bolton, Ontario, Canada|Research Site, Brampton, Ontario, Canada|Research Site, Etobicoke, Ontario, Canada|Research Site, Hastings, Ontario, Canada|Research Site, Kingston, Ontario, Canada|Research Site, Kitchener, Ontario, Canada|Research Site, London, Ontario, Canada|Research Site, Mississauga, Ontario, Canada|Research Site, Napanee, Ontario, Canada|Research Site, Newboro, Ontario, Canada|Research Site, Ottawa, Ontario, Canada|Research Site, Montreal, Quebec, Canada|Research Site, Pointe-Claire, Quebec, Canada|Research Site, Sherbrooke, Quebec, Canada|Research Site, Helsinki, Finland|Research Site, Kuopio, Finland|Research Site, Lahti, Finland|Research Site, Mikkeli, Finland|Research Site, Oulu, Finland|Research Site, Porvoo, Finland|Research Site, Savonlinna, Finland|Research Site, Seinäjoki, Finland|Research Site, Suonenjoki, Finland|Research Site, Tampere, Finland|Research Site, Turku, Finland|Research Site, Vaasa, Finland|Research Site, Aix En Provence, France|Research Site, Ambriere Les Vallees, France|Research Site, Beziers, France|Research Site, Briey Cedex, France|Research Site, Broglie, France|Research Site, Chateau Gontier, France|Research Site, Cremeaux, France|Research Site, Falaise, France|Research Site, Fontaine Saint Martin, France|Research Site, Freyming Merlebach, France|Research Site, GAN, France|Research Site, Hyeres, France|Research Site, Jarny, France|Research Site, Jort, France|Research Site, L'aigle, France|Research Site, Lambersart, France|Research Site, Le Lavandou, France|Research Site, Lille, France|Research Site, Lomme Cedex, France|Research Site, Marange Silvange, France|Research Site, Marignane, France|Research Site, Mars La Tour, France|Research Site, Martigues, France|Research Site, Mayenne, France|Research Site, Metz, France|Research Site, Mondelange, France|Research Site, Montbrison, France|Research Site, Montpellier, France|Research Site, Moutiers, France|Research Site, Nantes Cedex 01, France|Research Site, Nantes Cedex 1, France|Research Site, Paris, France|Research Site, Poitiers, France|Research Site, Roanne, France|Research Site, Roquevaire, France|Research Site, Rugles, France|Research Site, Saint Chamond, France|Research Site, Saint Jean de Luz, France|Research Site, Tantonville, France|Research Site, Heidelberg, Baden-Württemberg, Germany|Research Site, Stuttgart, Baden-Württemberg, Germany|Research Site, München, Bayern, Germany|Research Site, Frankfurt, Hessen, Germany|Research Site, Hannover, Niedersachsen, Germany|Research Site, Düsseldorf, Nordrhein-Westfalen, Germany|Research Site, Münster, Nordrhein-Westfalen, Germany|Research Site, Dresden, Sachsen, Germany|Research Site, Aschaffenburg, Germany|Research Site, Beckum, Germany|Research Site, Berlin, Germany|Research Site, Dresden, Germany|Research Site, Düsseldorf, Germany|Research Site, Essen, Germany|Research Site, Gelnhausen, Germany|Research Site, Hannover, Germany|Research Site, Heidelberg, Germany|Research Site, Heilbronn, Germany|Research Site, Künzing, Germany|Research Site, Nürnberg, Germany|Research Site, Pirna, Germany|Research Site, Hong Kong, Hong Kong|Research Site, Shatin, Hong Kong|Research Site, Balatonfüred, Hungary|Research Site, Budapest, Hungary|Research Site, Gy¿r, Hungary|Research Site, Kaposvár, Hungary|Research Site, Kecskemét, Hungary|Research Site, Miskolc, Hungary|Research Site, Siófok, Hungary|Research Site, Székesfehérvár, Hungary|Research Site, Mumbai, Mashatra, India|Research Site, Bangalore, India|Research Site, Delhi, India|Research Site, India, India|Research Site, Jakarta, DKI Jakarta, Indonesia|Research Site, Malang, East Java, Indonesia|Research Site, Kuala Lumpur, Malaysia|Research Site, Penang, Malaysia|Research Site, Petaling Jaya, Malaysia|Research Site, Bergen, Norway|Research Site, Bodø, Norway|Research Site, Elverum, Norway|Research Site, Fredrikstad, Norway|Research Site, Hamar, Norway|Research Site, Oslo, Norway|Research Site, Paradis, Norway|Research Site, Trondheim, Norway|Research Site, Tvedestrand, Norway|Research Site, Cebu City, Philippines|Research Site, Makati City, Philippines|Research Site, Manila, Philippines|Research Site, Almada, Portugal|Research Site, Amadora, Portugal|Research Site, Caldas da Rainha, Portugal|Research Site, Elvas, Portugal|Research Site, Lisboa, Portugal|Research Site, Portalegre, Portugal|Research Site, Moscow, Russian Federation|Research Site, St.Petersburg, Russian Federation|Research Site, Yaroslavl, Russian Federation|Research Site, Singapore, Singapore|Research Site, Cape Town, South Africa|Research Site, Durban, South Africa|Research Site, Johannesburg, South Africa|Research Site, Pretoria, South Africa|Research Site, Bern, Switzerland|Research Site, Chur, Switzerland|Research Site, Ilanz, Switzerland|Research Site, Lausanne, Switzerland|Research Site, Monthey, Switzerland|Research Site, Sion, Switzerland|Research Site, Zürich, Switzerland|Research Site, Yong-Kang City, Tainan County, Taiwan|Research Site, Changhua, Taiwan|Research Site, Taichung, Taiwan|Research Site, Taipei, Taiwan"
NCT03653533,"Evaluation of the Function ""Stop Before Hypoglycemia"" on External Insulin Pump",https://clinicaltrials.gov/study/NCT03653533,TERMINATED,Type I Diabetes,DEVICE: MiniMed™ 640G|DEVICE: Captor CGM Enlite®|DEVICE: SmartGuard®,ARAIR Assistance,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Pole Sante Sud Le Mans, Le Mans, France"
NCT03063229,Energy Balance Following Islet Transplantation,https://clinicaltrials.gov/study/NCT03063229,TERMINATED,Type 1 Diabetes,DEVICE: Accelerometer|OTHER: Anthropomentry|PROCEDURE: Blood tests|DEVICE: BODPOD|PROCEDURE: MRI (Magnetic Resonance Imaging)|OTHER: Food Diary|DEVICE: CGMS (Continuous Glucose Monitoring System)|OTHER: Questionnaire and Hypo Score|PROCEDURE: Mixed Meal Tolerance Test (MMTT)|PROCEDURE: Indirect Calorimetry|DRUG: Doubly Labelled Water|DRUG: Hepatic Mitochondrial Oxidation breath test,University of Edinburgh,NHS Lothian,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Royal Infirmary Edinburgh, Edinburgh, Midlothian, EH16 4SA, United Kingdom"
NCT01247649,Assessing Continuous Non- Invasive Blood Glucose Sensor- Physical Logic AG,https://clinicaltrials.gov/study/NCT01247649,TERMINATED,Type 1 Diabetes,DEVICE: Physical Logic Continuous Glucose Monitoring System,Rabin Medical Center,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Schneider Children's Medical center, Petach-Tikva, 49202, Israel"
NCT02655666,Qingdao: Insulin Pump Follow-Up Program,https://clinicaltrials.gov/study/NCT02655666,TERMINATED,Type 1 Diabetes,,Medtronic Diabetes,,ALL,"CHILD, ADULT",,OBSERVATIONAL,"The Affiliated Hospital of Qingdao University, Qingdao, Shandong, China"
NCT00925977,Treatment Satisfaction of Insulin Glargine Plus Insulin Apidra Compared With NPH Insulin Plus Insulin Apidra in Recently Diagnosed Type 1 Diabetes Children and Adolescents,https://clinicaltrials.gov/study/NCT00925977,TERMINATED,Diabetes Type 1,DRUG: insulin Glargine + Insulin Apidra|DRUG: Insulin NPH + Insulin Apidra: Active Comparator,Rabin Medical Center,Sanofi,ALL,"CHILD, ADULT",,INTERVENTIONAL,"Soroka hospital, Bear Sheva, Israel|Rambam Hospital, Haifa, Israel|Health care unit- Jerusalem, Jerusalem, Israel|Schnider children medical center, Petach-Tikva, Israel"
NCT00627471,Type 2 Diabetes Management With Lantus® (Malbec: Manejo Con Lantus® de Diabéticos Tipo 2),https://clinicaltrials.gov/study/NCT00627471,TERMINATED,Type 2 Diabetes,DRUG: Insulin Glargine|DRUG: Insulin Glargine,Sanofi,,ALL,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Sanofi-aventis administrative office Argentina, Buenos Aires, Argentina"
NCT00263965,ARAMIS: Actions of tesaglitazaR on fAt Metabolism and Insulin Sensitivity,https://clinicaltrials.gov/study/NCT00263965,TERMINATED,Type 2 Diabetes,DRUG: Tesaglitazar|DRUG: Metformin|BEHAVIORAL: Dietary and lifestyle modification counseling,AstraZeneca,,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Research Site, Helsinki, Finland|Research Site, Pisa, Italy|Research Site, Oxford, United Kingdom"
NCT04678661,My Dose Coach Mobile App to Support Insulin Titration and Maintenance,https://clinicaltrials.gov/study/NCT04678661,TERMINATED,Diabetes Mellitus Type 2 - Insulin-Treated,DEVICE: Smartphone application and web portal|BEHAVIORAL: Standard Insulin Therapy Education,Linda Siminerio,Sanofi,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, 15213, United States"
